title,tag,total_price,unitprice,position,house_range,house_area,house_toward,house_situation,house_floor,house_year,house_type,is_near_subway,tax_for_free,is_anytime
三里屯，低楼层，全明格局，只有一个契税,"近地铁,VR房源,房本满两年,随时看房",315万,"65,110元/平",三里屯南-三里屯,2室1厅,48.38平米,东 西 北,精装,低楼层(共6层),无年份,板楼,True,房本满两年,True
南湖东园二区，全明格局一居室，业主诚售随时看房！,"近地铁,VR房源,房本满两年",225万,"41,559元/平",南湖东园二区-望京,1室1厅,54.14平米,西,精装,中楼层(共14层),无年份,塔楼,True,房本满两年,False
此房满五 复式四居，楼上下都有房间 +卫生间,"近地铁,VR房源,房本满五年",578万,"41,945元/平",苹果派-常营,4室1厅,137.8平米,西南,精装,高楼层(共10层),2007年,板楼,True,房本满五年,False
小康家园 一居室 首付25万起 从此不租房啦,"VR看装修,房本满五年",139万,"24,305元/平",小康家园-亦庄,1室1厅,57.19平米,南,简装,高楼层(共6层),2000年,板楼,False,房本满五年,False
京贸国际公馆东区精装三居室，业主诚心出售，看房方便,"VR房源,房本满五年",395万,"42,810元/平",京贸国际公馆东区-九棵树(家乐福),3室1厅,92.27平米,南 北,简装,高楼层(共27层),无年份,板楼,False,房本满五年,False
鹏润家园豪苑大两居业主诚售。。,"VR房源,房本满五年",638万,"43,059元/平",鹏润家园-菜户营,3室1厅,148.17平米,西,精装,低楼层(共30层),2000年,塔楼,False,房本满五年,False
新华街五里 2室1厅 南 北,"近地铁,VR房源,房本满两年,随时看房",186万,"31,214元/平",新华街五里-看丹桥,2室1厅,59.59平米,南 北,简装,底层(共6层),无年份,板楼,True,房本满两年,True
大区主推！！！铁道部家属院，中间层，精装修,"VR房源,房本满五年",709万,"131,054元/平",月坛西街西里-月坛,2室1厅,54.1平米,南 北,精装,中楼层(共5层),1981年,板楼,False,房本满五年,False
万科城市花园一二层复式   明厨明卫  满五唯一,"VR房源,房本满五年,随时看房",618万,"35,812元/平",万科城市花园-后沙峪,3室2厅,172.57平米,南 北,简装,5层,无年份,板楼,False,房本满五年,True
电梯直达，采光好！近近近！看房子方便！,"近地铁,VR房源,房本满五年,随时看房",583万,"98,730元/平",和平里一区-和平里,2室1厅,59.05平米,南,精装,高楼层(共11层),无年份,板楼,True,房本满五年,True
下坡屯家园一区 1室1厅 南,"VR房源,房本满两年",82万,"13,148元/平",下坡屯家园一区-顺义其它,1室1厅,62.37平米,南,其他,低楼层(共11层),2012年,板楼,False,房本满两年,False
行宫园 2室1厅 南 北,"VR房源,房本满五年,随时看房",159万,"15,604元/平",行宫园-良乡,2室1厅,101.9平米,南 北,简装,中楼层(共7层),无年份,板楼,False,房本满五年,True
龙潭北里 2室1厅 南 北,"VR房源,房本满五年",475万,"78,734元/平",龙潭北里-左安门,2室1厅,60.33平米,南 北,简装,中楼层(共5层),无年份,板楼,False,房本满五年,False
上庄馨瑞嘉园 1室1厅 南,"VR房源,房本满五年",169万,"24,643元/平",上庄馨瑞嘉园-海淀北部新区,1室1厅,68.58平米,南,其他,顶层(共16层),2013年,板楼,False,房本满五年,False
朝南精装跃式两层 通风采光好 万科物业 智能系统,"VR房源,房本满五年",450万,"50,134元/平",翡翠公园二期-北七家,2室1厅,89.76平米,南,精装,底层(共5层),无年份,板楼,False,房本满五年,False
水碓子东路双南两居室中间楼层诚意出售,"近地铁,VR房源",295万,"53,250元/平",水碓子东路-团结湖,2室1厅,55.4平米,南,简装,中楼层(共6层),1993年,板楼,True,,False
太和小区 全明格局两居室 近地铁,VR房源,255万,"42,700元/平",太和小区-亚运村小营,2室1厅,59.72平米,南,其他,顶层(共5层),1995年,板楼,False,,False
建新南区，采光充足，楼层适中。,"近地铁,VR房源,房本满两年",249万,"39,606元/平",建新南区-顺义城,2室1厅,62.87平米,南 北,简装,6层,无年份,板楼,True,房本满两年,False
右安门外开阳里一区中间楼层两居室,"VR看装修,房本满五年",428万,"58,647元/平",开阳里一区-北京南站,2室1厅,72.98平米,南 北,简装,中楼层(共6层),2002年,板楼,False,房本满五年,False
吉祥雅筑 满五年唯一 东南两居 不临街,"VR房源,房本满五年",180万,"21,363元/平",吉祥雅筑-后沙峪,2室1厅,84.26平米,东 南,精装,底层(共14层),2012年,塔楼,False,房本满五年,False
康盛园6层板楼带电梯正规三居室满五年唯一,"VR看装修,房本满两年",329万,"35,400元/平",康盛园-高米店,3室1厅,92.94平米,南 北,精装,中楼层(共6层),无年份,板楼,False,房本满两年,False
双阳南区 经典二居户型，满五唯一，看房有钥匙，中层,"VR房源,房本满五年,随时看房",120万,"13,235元/平",双阳南区-杨镇,2室1厅,90.67平米,南 北,简装,中楼层(共6层),2002年,板楼,False,房本满五年,True
沿海赛洛城 板楼洋房两居 一梯两户 采光好 视野好,"近地铁,VR房源,房本满五年,随时看房",398万,"45,575元/平",沿海赛洛城二期-百子湾,2室1厅,87.33平米,东 西,简装,11层,无年份,板楼,True,房本满五年,True
葛布店南里 九棵树地铁  精装 好房来了！！,"近地铁,VR房源,房本满五年,随时看房",129万,"30,781元/平",葛布店南里-果园,1室1厅,41.91平米,南,精装,底层(共6层),无年份,板楼,True,房本满五年,True
安慧东里 满五唯一 南北通透二层 双卧都很大好用,"近地铁,VR看装修,房本满五年",299万,"52,374元/平",安慧东里-亚运村小营,2室1厅,57.09平米,南 北,简装,低楼层(共6层),1992年,板楼,True,房本满五年,False
西红门高米店南北通透小3居业主诚心出售,"近地铁,VR房源,房本满五年",358万,"40,077元/平",世嘉博苑-西红门,3室1厅,89.33平米,南 北,简装,低楼层(共15层),2009年,板楼,True,房本满五年,False
